"NUTS1", "NUTS2", "NUTS3", "DISTRICT_CODE", "DISTRICT_NAME", "LAU_CODE", "LAU_NAME", "LIVEBIRTHS", "YEAR"
"AT2", "AT22", "AT221", "601", "Graz-Stadt", "60101", "Graz", "2558", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60301", "Aibl", "8", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60302", "Deutschlandsberg", "61", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60303", "Eibiswald", "11", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60307", "Bad Gams", "19", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60308", "Garanas", "3", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60309", "Georgsberg", "16", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60310", "Greisdorf", "6", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60311", "Gressenberg", "1", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60312", "Gro� Sankt Florian", "20", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60313", "Gro�radl", "17", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60314", "Gundersdorf", "5", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60315", "Hollenegg", "13", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60316", "Kloster", "0", "2012"
"AT2", "AT22", "AT225", "603", "Deutschlandsberg", "60318", "Lannach", "29", "2012"
